Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;600;600;600;;601$a;;606$a;606$a;;607$a;;300$a;330$a
MEM CHA;23085945;16;843.010 26 CHA;;Chane-Hive;Julie;Mémoire réalisé sous la direction de Nicolas Fourgeaud;2016;fre;;;;;;Haute école des arts du Rhin;;Ecrivains et lecteurs;Bibliothèques;;;;Mémoire de DNSEP Art, mention Objet, atelier Livre;
MEM DIP;23085970;16;Mémoire du geste;;DiPasquale;Solène;Mémoire réalisé sous la direction de Jean-François Gavoty;2016;fre;;;;;;Haute école des arts du Rhin;;Gestes;Symétrie (art);;;;Mémoire de DNSEP Art, mention Objet, atelier Bijou;
MEM LEB;23085994;16;Parure / Nature;;Leblanc;Amélie;Mémoire réalisé sous la direction de Jean-François Gavoty;2016;fre;;;;;;Haute école des arts du Rhin;;Parure;Nature (esthétique);;;;Mémoire de DNSEP Art, mention Objet, atelier Bijou;
MEM LEB;23086006;16;Variations;;Le Bihan;Armelle;Mémoire réalisé sous la direction de Jean-François Gavoty;2016;fre;;;;;;Haute école des arts du Rhin;;Géométrie;Perception de l'espace;;;;Mémoire de DNSEP Art, mention Objet, atelier Bijou;
MEM DRA;23086018;16;La vie secrète de l'Inanimé;;Drai;Camille;Tutrice de mémoire : Muriel Ryngaert;2016;fre;;;;;;Haute école des arts du Rhin;;Marionnettes;Scénographie;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM KUN;23086031;16;L'obscène;;Kuntz;Camille;Tutrice de mémoire : Muriel Ryngaert;2016;fre;;;;;;Haute école des arts du Rhin;;Obscénité;;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM PIN;23086043;16;Le schéma;Cheminement, cheminer, chemin;Pinheiro;Maria Florinda;Tutrice de mémoire : Muriel Ryngaert;2016;fre;Clark, Lygia(1920-1988);;;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM LAT;23086055;16;Une scène sommeille au rond-point;;Lataillade;Clémentine;Tutrice de mémoire : Muriel Ryngaert;2016;fre;;;;;;Haute école des arts du Rhin;;Carrefours giratoires;Scénographie;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM COR;23086067;16;Faire son entrée !;;Cordier;Mathilde;Tutrice de mémoire : Muriel Ryngaert;2016;fre;;;;;;Haute école des arts du Rhin;;Musées;Scénographie d'exposition;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM CAR;23086079;16;J'ai cru voir;;Cardinal;Lucie;Tutrice de mémoire : Muriel Ryngaert;2016;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Chorégraphie;Arts du spectacle;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM FAD;23086080;16;Ecrin & paillettes;;Fadavi;Rana;Tutrice de mémoire : Muriel Ryngaert;2016;fre;Margiela, Martin(1957-....) ;McQueen, Alexander(1969-....);;;;Haute école des arts du Rhin;;Mode;;;;;Mémoire de DNSEP option Art, atelier de scénographie;
MEM MAR;23086092;16;Amateurs;;Marpeaux;Alexandre;Sous la direction de Pierre Doze;2016;fre;;;;;;Haute école des arts du Rhin;;Objets usuels;Autonomie (psychologie);;;;Mémoire de DNSEP option Design;
MEM SCH;23086108;16;L'odeur des objets;;Schulze;Timothée;Sous la direction de Pierre Doze et Frédéric Ruyant;2016;fre;;;;;;Haute école des arts du Rhin;;Objets usuels;Odeurs;;;;Mémoire de DNSEP option Design;
MEM CAU;2308611X;16;40.13;;Caumont;Marine;Sous la direction de Pierre Doze;2016;fre;;;;;;Haute école des arts du Rhin;;Sports extrêmes;Design;;;;Mémoire de DNSEP option Design;
MEM SCH;23086121;16;Objet & outils satellites;Considération de l'outil par le designer dans le travail de conception des objets;Schell;Thibaut;Sous la direction de Pierre Doze;2016;fre;;;;;;Haute école des arts du Rhin;;Objets usuels;Autonomie (psychologie);Obsolescence;;;Mémoire de DNSEP option Design;
MEM LIN;23086133;16;Résilience;Design et Santé;Lindas;Baudoin;Sous la direction de Pierre Doze et Frédéric Ruyant;2016;fre;;;;;;Haute école des arts du Rhin;;Santé;Prothèses;Design;;;Mémoire de DNSEP option Design;
MEM OMA;23086145;16;Design & mise en scène;;Omar;Jonathan;Sous la direction de Pierre Doze;2016;fre;;;;;;Haute école des arts du Rhin;;Design;Designers;;;;Mémoire de DNSEP option Design;
MEM DUB;23086157;16;Du bestiaire à la faune urbaine;L'animal sauvage en ville;Dubreuil;Léo;Sous la direction de Pierre Doze et Frédéric Ruyant;2016;fre;;;;;;Haute école des arts du Rhin;;Relations homme-animal;Animaux des villes;Design;;;Mémoire de DNSEP option Design;
MEM CAB;23086530;16;La matière à potentiel;Les nouveaux usages photographiques, vers différents degrés de véridiction;Cabanes;Paul;Tuteur de mémoire : Philippe Delangle;2015;fre;;;;;;Haute école des arts du Rhin;;Photographie numérique;Photographie d'amateurs;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM COH;23086542;16;Imprimer Internet,;ces gens qui aiment le Web au point d'en faire de beaux livres;Cohen;Laure;Tuteur de mémoire : Jérôme Saint-Loubert Bié;2015;fre;;;;;;Haute école des arts du Rhin;;Génération Internet;Internet;Récupération;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM COR;23086554;16;Bibliothèque d'images;Le livre d'art et ses représentations;Cornu;Florian;Tuteur de mémoire : Jérôme Saint-Loubert Bié;2015;fre;;;;;;Haute école des arts du Rhin;;Édition;Livres illustrés;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM COU;23086578;16;La forme suit la fiction;Le rôle du document dans des démarches de fictionnalisation;Coutellier;Erwan;Tuteur de mémoire : Franck Knoery;2015;fre;;;;;;Haute école des arts du Rhin;;Fiction dans l'art;Arts graphiques;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM LAM;23086591;16;Forme potentielle;;Lambert;Eva;Tuteur de mémoire : Jérôme Saint Loubert-Bié;2015;fre;;;;;;Haute école des arts du Rhin;;Création (esthétique);Inspiration;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM MOH;23086607;16;Systèmes métaphoriques;;Mohtadji;Arman;Tuteur de mémoire : Loïc Horellou;2015;fre;;;;;;Haute école des arts du Rhin;;Ordinateurs;Systèmes d'exploitation (ordinateurs);;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM SED;23086620;16;Objets. Corps. Mémoire;;Seddiki;Lina Farah;Sous la direction de Sandrine Israel-Jost;2015;fre;;;;;;Haute école des arts du Rhin;;Poupées;Corps humain;;;;Mémoire DNSEP Art, No Name;
MEM LUZ;23086681;16;Kitala Tala / Qui regarde regarde;;Luzamba;Arno;Sous la direction de Lidwine Prolonge;2015;fre;;;;;;Haute école des arts du Rhin;;Vie urbaine;Emigration et immigration;;;;Mémoire DNSEP Art, Hors format;
MEM DES;23087151;16;Le dépaysement par l'objet;Une projection sans déplacement;Desjardin;Baptiste;Mémoire réalisé sous la direction de Cyrille Bret;2015;fre;;;;;;Haute école des arts du Rhin;;Art et mondialisation;Vide (philosophie);;;;Mémoire de DNSEP Art, mention Objet, atelier Bois;
MEM DEC;23087163;16;La théorie de l'éponge;Mémoire DNSEP Art, mention Objet, atelier Livre;Deck-Marsault;Julie;Mémoire réalisé sous la direction de Cyrille Bret;2015;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP Art, mention Objet;
MEM BAR;23087175;16;Liquide;;Baresch;Fanette;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;Liquides;;;;;Mémoire de DNSEP Art, mention Objet, atelier Terre;
MEM LAR;23087187;16;Partir Beaucoup;;Larreta;Doriane;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;Jacques, Benoît(1958-....);;;;;Haute école des arts du Rhin;;Mort;Edition;Sculpture sur bois;;;Mémoire de DNSEP Art, mention Objet, atelier Livre;
MEM JUS;23087199;16;Un arbre peut-il cacher la forêt ?;;Just;Benjamin;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;Travail du bois;;;;;Mémoire de DNSEP Art, mention Objet, atelier Bois;
MEM RUE;23087204;16;Pierre, à la ligne;;Ruellan;Lana;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;Céramique;Émail et émaillage;Géologie;;;Mémoire de DNSEP Art, mention Objet, atelier Terre;
MEM BAR;2308723X;16;Quand la Madon monte;;Barbey;Mathilde;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP Art, mention Objet, atelier Livre;
MEM SAC;23087253;16;Entre les vagues;;Saccoccio;Emilie;Mémoire réalisé sous la direction d'Anne Bertrand;2015;fre;;;;;;Haute école des arts du Rhin;;Création (esthétique);Émigration et immigration;;;;Mémoire de DNSEP Art, mention Objet, atelier Terre;
MEM MAR;23087265;16;L'attention minuscule;;Marlin;Elsa;;2015;fre;;;;;;Haute école des arts du Rhin;;Détails (art);Nature;;;;Mémoire de DNSEP Art, mention Objet, atelier Verre;
MEM KNA;23087277;16;Du fond de la lacune, soudain;;Knaebel;Julie;Mémoire réalisé sous la direction de Nicolas Fourgeaud;2015;fre;;;;;;Haute école des arts du Rhin;;Vide (philosophie);Mer;Récit;;;Mémoire de DNSEP Art, mention Objet, atelier Livre;
MEM MIR;23087469;16;La visite;Mémoire DNSEP Art;Mirabel;John;Sous la direction de Nicolas Fourgeaud;2014;fre;;;;;;Haute école des arts du Rhin;;;;;;;;
MEM FRA;23090344;16;Dés(phormation du lengage);;François;Hyacinthe;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;Graffiti;Dyslexie;;;;Mémoire de DNSEP Art, mention Objet, atelier Métal;
MEM STA;23090356;16;Agrégat de corps dilué;;Stab;Jonathan;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;Alimentation;Corps humain;;;;Mémoire de DNSEP Art, mention Objet, atelier Terre;
MEM THE;23090368;16;Intériorités partagées;;Theodosis;Galla;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;Intériorité;Espace (art);Installation (art);;;Mémoire de DNSEP Art, mention Objet, atelier Verre;
MEM KAT;23090381;16;La visite;;Kato;Alexandre;Mémoire réalisé sous la direction de Jean-François Gavoty;2015;fre;;;;;;Haute école des arts du Rhin;;Habitat;Espace (architecture);;;;Mémoire de DNSEP Art, mention Objet, atelier Métal;
MEM JAC;23090512;16;Hors-piste;Mémoire DNSEP Art;Jacquin;Simon;Sous la direction de Cyrille Bret;2014;fre;;;;;;Haute école des arts du Rhin;;Graffiti;;;;;;
MEM WEL;23090638;16;Conatus;;Wellecam;Charlie;Sous la direction de Nicolas Fourgeaud;2015;fre;;;;;;Haute école des arts du Rhin;;Peinture (art);Création (esthétique);;;;Mémoire DNSEP Art, Peintures;
MEM CAR;2309064X;16;L'approche du lointain;;Carrieri;Valeria;Sous la direction d'Anne Bertrand;2015;fre;;;;;;Haute école des arts du Rhin;;Peinture;Création (esthétique);;;;Mémoire DNSEP Art, Peintures;
MEM MIL;23090651;16;Processus et transposition de La Conjuration en scénario cinématographique;;Milone;Silvio;Sous la direction de Lidwine Prolonge et Anne Laforet;2015;fre;;;;;;Haute école des arts du Rhin;;Adaptations cinématographiques;Cinéma et littérature;;;;Mémoire DNSEP Art, Hors Format;
MEM SAJ;23090663;16;Expérimentation des possibles;;Sajn-Pampini;Manuel;Sous la direction de Lidwine Prolonge;2015;fre;;;;;;Haute école des arts du Rhin;;Art de performance;Fluxus;;;;Mémoire DNSEP Art, Hors Format;
MEM VIN;23090675;16;"Le bricolage ; rationnel et magique";;Vinck;Arthur;Sous la direction de Sandrine Israël Jost;2015;fre;;;;;;Haute école des arts du Rhin;;Machines;Bricolage;;;;Mémoire DNSEP Art, La Fabrique;
MEM HAY;23090687;16;Quelques premiers éléments d'une philosophie de la création toujours en devenir;;Hays;Alex;Sous la direction de Nicolas Fourgeaud;2015;fre;;;;;;Haute école des arts du Rhin;;Création (esthétique);Normes sociales;Affirmation de soi;;;Mémoire DNSEP Art, La Fabrique;
MEM BON;23090699;16;Déréalisation;;Bonnel;Lucas;Sous la direction d'Anne Laforet;2015;fre;;;;;;Haute école des arts du Rhin;;Société de consommation;Réalité;Imaginaire;;;Mémoire DNSEP Art, Hors format;
MEM SAL;23090704;16;La brèche;;Salvidant;Lucile;Sous la direction de Sandrine Israël Jost;2015;fre;;;;;;Haute école des arts du Rhin;;Art et photographie;Photographie;;;;Mémoire DNSEP Art, La Fabrique;
MEM SCH;23090790;16;La trace et le tracé;;Schittulli;Lisa;Sous la direction d'Anne Bertrand;2015;fre;;;;;;Haute école des arts du Rhin;;Création (esthétique);;;;;Mémoire DNSEP Art, Peintures;
MEM GUE;23090818;16;Avoir un fil sur la langue;;Guérin;Elena;Sous la direction de Lidwine Prolonge;2015;fre;Della Negra;;;;;Haute école des arts du Rhin;;Langage et langues;;;;;Mémoire DNSEP Art, Hors Format;
MEM LUZ;2309082X;16;De la Peinture à la Scène;;Luzuaki Ndombasi;Yannick;Sous la direction de Daniel Schlier;2015;fre;Schlemmer;;;;;Haute école des arts du Rhin;;Art;Marionnettes dans l'art;;;;Mémoire DNSEP Art, Peintures;
MEM HIR;23090831;16;Accord précaire;;Hiriartborde;Léna;Sous la direction de Cyrille Bret;2015;fre;;;;;;Haute école des arts du Rhin;;Son;Art de performance;;;;Mémoire DNSEP Art, Hors Format;
MEM VEN;23090843;16;La claque;;Ventura;Marine;Sous la direction de Thomas Soriano;2015;fre;;;;;;Haute école des arts du Rhin;;Spectateurs;Arts;Arts du spectacle;;;Mémoire DNSEP Art, No Name;
MEM IMB;23090855;16;La marche a souvent été liée à la pensée;;Imbert;Jules;Sous la direction de Pierre Doze;2015;fre;;;;;;Haute école des arts du Rhin;;Marche;Isolement social;;;;Mémoire DNSEP Art, Empreindre;
MEM BLO;23090867;16;Strates;;Blot;Alice;Sous la direction de Sandrine Israël Jost;2015;fre;;;;;;Haute école des arts du Rhin;;Corps humain;Intimité (psychologie) et art;;;;Mémoire DNSEP Art, La Fabrique;
MEM PHA;23090879;16;Rencontre;;Phanzu Tevo;Rhunaud;Sous la direction de Philippe Lepeut;2015;fre;;;;;;Haute école des arts du Rhin;;Art;Artistes;;;;Mémoire DNSEP Art, Hors Format;
MEM MUT;23090880;16;L'artiste combattant;L'art comme engagement politique;Mutambayi;Faustin;Sous la direction de Dominique Auerbacher, Anne Laforet et Christophe Boulanger;2015;fre;;;;;;Haute école des arts du Rhin;;Art;Art et politique;Engagement (philosophie);;;Mémoire DNSEP Art, Hors Format;
MEM GRO;23090892;16;L'intervalle;;Grosse;Jordan;Sous la direction de Sandrine Israël Jost;2015;fre;Varda;;;;;Haute école des arts du Rhin;;Création (esthétique);;;;;Mémoire DNSEP Art, La Fabrique;
MEM HAN;23090908;16;De ma chambre au point zéro;;Han;Jihye;Sous la direction de Sandrine Israël Jost;2015;fre;;;;;;Haute école des arts du Rhin;;Intimité (psychologie) et art;Création (esthétique);;;;Mémoire DNSEP Art, La Fabrique;
MEM TAI;2309091X;16;Ruines;;Taillefert;Alexandre;Sous la direction de Annie Latimier;2015;fre;;;;;;Haute école des arts du Rhin;;Ombres;Films;Ruines (esthétique);;;Mémoire DNSEP Art, Farmteam / Storytellers;
MEM DON;23090921;16;Le souvenir;;Dong;Zhigang;Sous la direction d'Annie Latimier puis Sandrine Israël-Jost;2015;fre;;;;;;Haute école des arts du Rhin;;Souvenir dans l'art;Enfance;;;;Mémoire DNSEP Art, La Fabrique;
MEM SOU;23090933;16;La révolte oubliée;;Soueidi;Jessica;Sous la direction de Thomas Soriano;2015;fre;;;;;;Haute école des arts du Rhin;;Féminisme;Liban;;;;Mémoire DNSEP Art, Peintures;
MEM KIM;23090945;16;Les lunettes noires;;Kim;Hyemi;Sous la direction de Sandrine Israël-Jost;2015;fre;;;;;;Haute école des arts du Rhin;;Création (esthétique);Artistes;;;;Mémoire DNSEP Art, La Fabrique;
MEM BER;23090957;16;A traveling, travelling;Travelogue;Bernard;Pauline;Sous la direction de Cyrille Bret;2015;fre;;;;;;Haute école des arts du Rhin;;Cinéma;;;;;Mémoire DNSEP Art, No Name;
MEM FLA;23090970;16;Voir et savoir;;Flatt;Kilian;Suivi par le directeur de recherches Thomas Soriano;2015;fre;;;;;;Haute école des arts du Rhin;;Savoir et érudition;Art et sciences;Cabinets de curiosités;;;Mémoire DNSEP Art, No Name;
MEM ROB;23090982;16;Points, Zig-zag, Double-ligne;Nouveaux modes de lecture et poétique du réseau Internet dans le livre imprimé;Robin;Léna;Tuteur de mémoire : Anne Laforet;2015;fre;;;;;;Haute école des arts du Rhin;;Livres et lecture;Livres;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM GOE;23090994;16;Mémoire Libre Disponible;;Goetz;Romain;Tuteur de mémoire : Anne Laforêt;2015;fre;;;;;;Haute école des arts du Rhin;;Ordinateurs;;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM BAI;23091006;16;Filmeurs amateurs, vidéos partagées;;Bailleul;Nicolas;Tuteur de mémoire : Loïc Horellou;2015;fre;;;;;;Haute école des arts du Rhin;;Vidéos sur internet;Films d'amateurs;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM BOU;23091591;16;Oh cousine tu danses ou je t'explose;Pour une pratique réjouissante du design;Bouchier-Végis;Jules;Sous la direction de Pierre Doze;2015;fre;;;;;;Haute école des arts du Rhin;;Design;Ergonomie;Corps humain;;;Mémoire de DNSEP option Design;
MEM LEB;23091607;16;Objet inculte;;Leblanc;Maxime;Sous la direction de Pierre Doze;2015;fre;;;;;;Haute école des arts du Rhin;Ateliers de fabrication numérique;Designers;;;;;Mémoire de DNSEP option Design;
MEM MIR;23091709;16;Les images de l'inconnu;L'animal merveilleux à la fin du Moyen-Age;Miroglio;Lisa;Tuteur de mémoire : Olivier Deloignon;2015;fre;;;;;;Haute école des arts du Rhin;;Bestiaire fabuleux;Animaux fabuleux;;;;Mémoire de DNSEP option Communication, atelier de didactique visuelle;
MEM PAR;23091710;16;Vide;un moment lacunaire donc accidentel;Park;Ikhyeon;Tutrice de mémoire : Muriel Ryngaert;2015;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Théâtre;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM YOL;23091734;16;Tu m'oublieras;;Yolal;Iris;Tutrice de mémoire : Muriel Ryngaert;2015;fre;;;;;;Haute école des arts du Rhin;;Vidéo-clips;Théâtre;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM DEB;23091746;16;N'oublie pas, respire;;Debras;Clément;Tutrice de mémoire : Muriel Ryngaert;2015;fre;;;;;;Haute école des arts du Rhin;;Chorégraphie;Danse;Art de performance;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM BAG;23091758;16;L'architecture du regard;Icône et idole, une dynamique de l'apparition;Baglione;Andrea;Tutrice de mémoire : Muriel Ryngaert;2015;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Théâtres;Spectateurs;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM SZY;2309176X;16;La théâtralité du repas;ou casse-croûte scénographique;Szymczak;Nastassia;Tutrice de mémoire : Muriel Ryngaert;2015;fre;;;;;;Haute école des arts du Rhin;;Repas;;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM COQ;23091783;16;Usage narratif de la masse noire en bande-dessinée;;Coquart;Adrien;Tuteur de mémoire : Marianne Gayko-Roth et Joseph Béhé Griesmar;2015;fre;;;;;;Haute école des arts du Rhin;;Noir;Bandes dessinées;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM LER;23091975;16;They will go underground !;Le fanzine comme forme communicante aujourd'hui;Le Roux;Quentin;Tuteur de mémoire : Philippe Delangle;2015;fre;;;;;;Haute école des arts du Rhin;;Fanzines;Contre-culture;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM DES;23091999;16;Ancré - Ecran;Le design typographique entre formes historiques et outils contemporains;Descroix;Lucas;Tuteur de mémoire : Yohanna My Nguyen;2015;fre;;;;;;Haute école des arts du Rhin;;Lettre (typographie);Arts graphiques;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM BIZ;23092000;16;Pays, images;Le paysage naturel et ses codes de représentation;Bizet;Estelle;Tuteur de mémoire : Franck Knoery;2015;fre;;;;;;Haute école des arts du Rhin;;Paysage;;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM QUE;23092012;16;Design graphique et participation ?;Etat des lieux d'une pratique récente au travers de cinq projets;Quentel;Zoé;Tuteur de mémoire : Philippe Delangle;2015;fre;;;;;;Haute école des arts du Rhin;;Art collectif;Arts graphiques;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM KIL;23092024;16;La photographie amateur;dernier lieu du réel ?;Killmayer;Lucille;Tuteur de mémoire : Franck Knoery;2015;fre;;;;;;Haute école des arts du Rhin;;Photographie d'amateurs;Photographie;;;;Mémoire de DNSEP option Communication, atelier de communication graphique;
MEM ONG;23092061;16;Les adaptations de films en bandes dessinées;;Ong;Stéphanie;Tuteur de mémoire : Joseph Béhé;2015;fre;;;;;;Haute école des arts du Rhin;;Bandes dessinées;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM CHE;23092073;16;Le dessin sur le vif;Quoi qu'il arrive, tant mieux;Chemin;Flore;Tuteur de mémoire : Olivier Deloignon;2015;fre;;;;;;Haute école des arts du Rhin;;Carnets de croquis;Illustrateurs;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM LEF;23092085;16;Lignes de fuite;Dessiner la vitesse;Lefebvre;Nicolas;Tuteur de mémoire : Guillaume Dégé;2015;fre;;;;;;Haute école des arts du Rhin;;Vitesse;Illustration des livres;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM FER;23092138;16;Les changements de formes graphiques au sein d'une même narration;Une multiplicité de langage dans la bande dessinée;Ferrero;Lucas;Tuteur de mémoire : Salomé Risler;2015;fre;;;;;;Haute école des arts du Rhin;;Narration;Bandes dessinées;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM HUA;2309214X;16;Espace(s) de fiction;;Huault;Elie;Tuteur de mémoire : Olivier Deloignon;2015;fre;;;;;;Haute école des arts du Rhin;;Décoration;Personnages de bandes dessinées, dessins animés, etc;Narration;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM MAI;23092151;16;Regard sur une bande dessinée contemplative;John McNaughjt / Tobias Tycho Schalken;Maillard;Antoine;Tuteur de mémoire : Joseph Béhé;2015;fre;McNaught, Jon(1985-....) ;Schalken, Tobias Tycho(1972-....);;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM DEN;23092163;16;De la philosophie dans la bande dessinée;;Denis;Blandine;Tuteur de mémoire : Olivier Deloignon;2015;fre;;;;;;Haute école des arts du Rhin;;Philosophie;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM PAT;23092175;16;Les planches originales de bandes dessinées, sorties de leur contexte éditorial;;Patin;Amélie;Tuteur de mémoire : Gaëtan Dorémus, puis Salomé Risler;2015;fre;;;;;;Haute école des arts du Rhin;;Bandes dessinées;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM DOD;23092187;16;PersonaePopulaires;;Dodet;Emmanuel;Tuteur de mémoire : Salomé Risler;2015;fre;;;;;;Haute école des arts du Rhin;;Personnages;Travestis;Personnages de jeux vidéo;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM BOU;23092199;16;Du fragment au tout,;assembler des papiers découpés;Bourhis;Aude;Tuteur de mémoire : Marianne Gayko-Roth;2015;fre;;;;;;Haute école des arts du Rhin;;Découpage (art);Collage (art);;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM MIR;23092204;16;"Silhouettes ; ombres, papiers découpés, dans l'album illustré";En quoi l'utilisation de la silhouette, ombre et papier découpé dans l'album illustré est un outil narratif pertinent ?;Mirgaine;Marie;Tuteur de mémoire : Finzo;2015;fre;;;;;;Haute école des arts du Rhin;;Dessin de silhouettes;Illustrations, images, etc.;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM LED;23092216;16;Procédés composites en illustration;Monstruosités stériles ou hybridations fécondes ?;Leday;Nicolas;Tuteur de mémoire : Olivier Deloignon;2015;fre;;;;;;Haute école des arts du Rhin;;Illustrations, images, etc.;Composition (art);;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM EUZ;2309223X;16;Le pastiche illustré;de la fausse mais pourtant vraisemblable objectivité;Euzénès;Anne;Tuteur de mémoire : Guillaume Dégé;2015;fre;;;;;;Haute école des arts du Rhin;;Pastiches;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM VER;23092241;16;Mise en scène narrative des montreurs d'images indiens;;Vergez;Suzy;Tuteur de mémoire : Finzo;2015;fre;;;;;;Haute école des arts du Rhin;;Illustrations, images, etc.;Enfants;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM URB;23092253;16;Raweirdo;;Urbaniak;Loïc;Tuteur de mémoire : Olivier Deloignon;2015;fre;Spiegelman, Art(1948-....);Mouly, Françoise;Crumb, Robert(1943-....);;;Haute école des arts du Rhin;;Bandes dessinées;Bandes dessinées underground;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM LAF;23092265;16;Illustrer Peer Gynt;;Lafargue;Hannah;Tuteur de mémoire : Bahiyyih Nakhjavani;2015;fre;;;;;;Haute école des arts du Rhin;;Littérature;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM SEN;23092277;16;De quoi Mattt Konture est-il le nom ?;Une analyse du style graphique de Mattt Konture;Senn;Agathe;Tuteur de mémoire : Guillaume Dégé;2015;fre;Konture, Mattt (1965-....);;;;;Haute école des arts du Rhin;;;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM AMR;23092289;16;La contrainte et la bande dessinée;;Amrani;Hicham;Tuteur de mémoire : Olivier Deloignon;2015;fre;;;;;;Haute école des arts du Rhin;;Création (esthétique);Bandes dessinées;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM CHE;23092290;16;La forme du texte dans la bande dessinée;;Chevalier;Pierre;Tuteur de mémoire : Guillaume Dégé;2015;fre;;;;;;Haute école des arts du Rhin;;Bandes dessinées;;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM LAR;23092306;16;Trois personnages en quête d'auteurs;;Larousse;Lucie;Tuteur de mémoire : Olivier Deloignon;2015;fre;;;;;;Haute école des arts du Rhin;;Super-héros;Personnages de bandes dessinées, dessins animés, etc;;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM BOL;23092331;16;Spectacularisation;;Bolankoko Belondjo;Djo;Tutrice de mémoire : Muriel Ryngaert;2015;fre;Bailey, Brett(1967-....);;;;;Haute école des arts du Rhin;;Zoos humains;Colonisation;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM GRA;23092343;16;Scènes typographiques;;Grandjacques;Alexandra;Tutrice de mémoire : Muriel Ryngaert;2015;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Art de l'acteur;;;;Mémoire de DNSEP option Design, atelier de scénographie;
MEM MEL;23092355;16;Youkali;;Melero;Mathilde;Tutrice de mémoire : Muriel Ryngaert;2015;fre;;;;;;Haute école des arts du Rhin;;Scénographie;Théâtre;;;;Mémoire de DNSEP option Design, atelier de scénographie;
