Cote;CB;Type;Titre;SousTitre;AuteurNom;AuteurPrénom;AuteurAutre;Date;Langue;600;600;600;600;;601$a;;606$a;606$a;;607$a;;300$a;330$a
MEM FAV;23055461;16;Sur le vif;;Favre-Félix;Gabrielle;Mémoire dirigé par Sandrine Israël-Jost;2017;fre;Bausch, Pina(1940-2009);;;;;Haute école des arts du Rhin;;Composition (art);Création (esthétique);;;;Mémoire DNSEP Art, Peintures;
MEM VNS;23055538;16;Système de travail VNS;;Fayard;Léa;Mémoire dirigé par Anne Laforêt, Lidwine Prolonge;2017;fre;;;;;;Haute école des arts du Rhin;;Cognition et langage;;;;;Mémoire DNSEP Art, Hors format;"Le mémoire est composé d'une lettre d'introduction, de deux schémas commentés et leur bibliographie, d'un site évolutif, d'un jeu de cartes."""
MEM SAP;2305554X;16;J'accepte d'épouser Voltaire;;Sapwe Katalayi;Mike;Mémoire dirigé par Lidwine Prolonge;2017;fre;;;;;;Haute école des arts du Rhin;;Lingala (langue);Français (langue);Slam (poésie);;;Mémoire DNSEP Art, Hors format;
MEM GEN;23056610;16;Je ne sais pas vous mais moi je me régale;Le livre astucieux;Gendron;Sophie;Tuteur de mémoire : Salomé Risler et Louise Germain;2016;fre;;;;;;Haute école des arts du Rhin;;Petites maisons d'édition;Fanzines;Illustration des livres;;;Mémoire de DNSEP option Communication, atelier d'illustration;
MEM ORL;23056875;16;Au premier coup d'oeil;;Orlando;Paul d';Tuteurs de mémoire : Olivier Deloignon & Salomé Risler;2017;fre;;;;;;Haute école des arts du Rhin;;Technique du livre;Livres;Parodie (littérature);;;Mémoire de DNSEP option Communication, atelier d'illustration;Je voudrais m’intéresser à ce qu’un lecteur pourrait penser de prime abord d’un ouvrage, dans quel registre il le catégoriserait. Cette catégorisation, ou, cette identification passe par l’appréciation visuelle de son graphisme, de l’objet en tant que tel, des personnages que nous pourrions reconnaître...Pourquoi l’idée qu’on se fait d’un livre de l’extérieur ne correspond pas toujours à ce qu’on peut trouver dedans? Cette dissonance appelons la: « décalage ».C’est donc ce décalage, ce qui le déclenche, ce qu’il crée dans les ouvrages illustrés qui va m’intéresser ici.J’ai découpé ma réflexion en trois parties, qui, devraient nous permettre d’analyser de façon suffisamment poussée les éléments, notions, indices, codes, registres et styles dont nous allons avoir besoin pour nous faire un avis.Le premier chapitre traitera de l’objet livre, le deuxième chapitre quant à lui parlera des personnages populaires, et, enfin, le troisième chapitre analysera le graphisme d’un dessin et ce qu’il peut évoquer chez les lecteurs.Pour résumer ce mémoire je vous propose une citation de Jean-Pierre Vernant, entre autres, héros de la Résistance, historien français de renom, spécialiste de la Grèce antique, plus particulièrement de ses mythes, et qui, de surcroît, a été directeur d’études à l’École pratique des hautes études puis professeur au Collège de France: « L’un des traits de l’existence humaine c’est la dissociation entre les apparences de ce qui se laisse voir, se laisse entendre, et puis les réalités.
MEM PIL;23056990;16;Idéologie du quotidien;;Pilato;Baptiste;Sous la direction de Pierre Doze;2017;fre;;;;;;Haute école des arts du Rhin;;Design;Consommation;;;;Mémoire de DNSEP option Design. Diplôme 2017. Mémoire accompagné d'annexes séparés.;
MEM PIL;23057002;16;Idéologie du quotidien;;Pilato;Baptiste;Sous la direction de Pierre Doze;2017;fre;;;;;;Haute école des arts du Rhin;;Design;Consommation;;;;Mémoire de DNSEP option Design. Diplôme 2017. Mémoire accompagné d'annexes séparés.;
MEM KRE;23057014;16;Composition(s);;Krengel;Garance;Sous la direction de Pierre Doze;2017;fre;;;;;;Haute école des arts du Rhin;;Design;;;;;Mémoire de DNSEP option Design. Diplôme 2017. Mémoire accompagné d'un index des citations séparé, dans une pochette en tissu.;
MEM KRE;23057026;16;Composition(s);;Krengel;Garance;Sous la direction de Pierre Doze;2017;fre;;;;;;Haute école des arts du Rhin;;Design;;;;;Mémoire de DNSEP option Design. Diplôme 2017. Mémoire accompagné d'un index des citations séparé, dans une pochette en tissu.;
MEM MOR;23057038;16;Banlieue de compétences;Le design social pour la valorisation des compétences des jeunes des quartiers populaires;Morel;Bruno;Sous la direction de Pierre Doze;2017;fre;;;;;;Haute école des arts du Rhin;;Banlieues;;;Strasbourg (Bas-Rhin);;Mémoire de DNSEP option Design. Diplôme 2017.;
